Designator,Mid X,Mid Y,Layer,Rotation,Corrected,KiCAD,,,
C1,20.150000,-17.900000,top,-90.000000,-90.000000,90.000000,,,
C2,25.350000,-16.050000,top,0.000000,0.000000,180.000000,,,
C3,28.925000,-19.050000,top,-180.000000,-180.000000,0.000000,,,
C4,12.300000,-36.300000,top,0.000000,0.000000,180.000000,,,
C5,14.600000,-44.050000,top,0.000000,0.000000,180.000000,,,
C6,11.400000,-52.000000,top,0.000000,0.000000,180.000000,,,
C7,10.600000,-46.700000,top,-90.000000,-90.000000,90.000000,,,
C8,17.750000,-29.850000,top,-270.000000,-270.000000,-90.000000,,,
C9,22.150000,-26.500000,top,-180.000000,-180.000000,0.000000,,,
C10,22.675000,-38.950000,top,0.000000,0.000000,180.000000,,,
C11,17.900000,-53.500000,top,-90.000000,-90.000000,90.000000,,,
C12,6.150000,-57.850000,top,-180.000000,-180.000000,0.000000,,,
C13,16.569000,-102.600000,top,0.000000,0.000000,180.000000,,,
C14,17.419000,-70.550000,top,-270.000000,-270.000000,-90.000000,,,
C15,27.519000,-71.850000,top,-180.000000,-180.000000,0.000000,,,
C16,29.719000,-86.100000,top,-180.000000,-180.000000,0.000000,,,
D1,22.050000,-17.900000,top,-90.000000,,-90.000000,,,
D2,25.350000,-14.350000,top,180.000000,,180.000000,,,
D3,11.753000,-12.065000,top,180.000000,,180.000000,,,
D4,18.400000,-11.800000,top,-90.000000,,-90.000000,,,
D5,20.450000,-11.800000,top,-90.000000,,-90.000000,,,
D6,44.900000,-29.200000,top,-90.000000,,-90.000000,,,
D7,29.768000,-42.672000,top,0.000000,,0.000000,,,
D8,50.770000,-108.900000,top,180.000000,,180.000000,,,
D9,50.767500,-106.450000,top,0.000000,,0.000000,,,
D10,50.770000,-103.890000,top,0.000000,,0.000000,,,
D11,50.770000,-101.400000,top,180.000000,,180.000000,,,
D12,50.700000,-61.250000,top,180.000000,,180.000000,,,
D13,50.700000,-58.750000,top,0.000000,,0.000000,,,
D14,50.700000,-56.200000,top,0.000000,,0.000000,,,
D15,50.700000,-53.750000,top,180.000000,,180.000000,,,
D16,50.700000,-76.350000,top,0.000000,,0.000000,,,
D17,50.700000,-73.968000,top,0.000000,,0.000000,,,
D18,50.700000,-71.470000,top,0.000000,,0.000000,,,
D19,50.700000,-68.950000,top,180.000000,,180.000000,,,
D20,50.700000,-91.450000,top,0.000000,,0.000000,,,
D21,50.700000,-88.920000,top,0.000000,,0.000000,,,
D22,50.700000,-86.440000,top,0.000000,,0.000000,,,
D23,50.700000,-83.950000,top,180.000000,,180.000000,,,
J1,11.600000,-22.500000,top,-90.000000,,-90.000000,,,
J2,22.150000,-3.120000,top,0.000000,,0.000000,,,
J3,51.925000,-10.950000,top,-90.000000,,-90.000000,,,
J4,11.204331,-69.885000,top,-90.000000,,-90.000000,,,
J5,53.790000,-98.896000,top,-90.000000,,-90.000000,,,
J6,53.790000,-53.722000,top,-90.000000,,-90.000000,,,
J7,39.811000,-70.176000,top,-90.000000,,-90.000000,,,
J8,53.790000,-38.600000,top,-90.000000,,-90.000000,,,
J9,53.790000,-68.850000,top,-90.000000,,-90.000000,,,
J10,39.811000,-88.972000,top,-90.000000,,-90.000000,,,
J11,53.867500,-83.950000,top,-90.000000,,-90.000000,,,
J12,39.811000,-107.790000,top,-90.000000,,-90.000000,,,
J14,53.800000,-28.400000,top,-90.000000,,-90.000000,,,
J16,30.400000,-117.250000,top,180.000000,,180.000000,,,
J17,20.350000,-117.250000,top,180.000000,,180.000000,,,
JP1,29.619000,-102.450000,top,180.000000,,180.000000,,,
JP2,4.600000,-55.150000,top,180.000000,,180.000000,,,
JP3,4.650000,-41.075000,top,0.000000,,0.000000,,,
JP4,14.500000,-9.150000,top,180.000000,,180.000000,,,
K1,34.400000,-44.825000,top,-90.000000,,-90.000000,,,
L1,36.250000,-31.800000,top,-90.000000,,-90.000000,,,
LF1,28.250000,-52.728000,top,90.000000,,90.000000,,,
Q1,24.961000,-11.650000,top,180.000000,180.000000,0.000000,,,
Q2,36.175000,-9.150000,top,90.000000,,90.000000,,,
Q3,27.800000,-30.577500,top,90.000000,90.000000,-90.000000,,,
Q4,30.276000,-45.466000,top,180.000000,180.000000,0.000000,,,
R2,29.050000,-74.150000,top,90.000000,,90.000000,,,
R3,25.350000,-19.050000,top,180.000000,,180.000000,,,
R4,28.925000,-14.550000,top,0.000000,,0.000000,,,
R5,28.925000,-11.550000,top,0.000000,,0.000000,,,
R6,25.350000,-17.550000,top,180.000000,,180.000000,,,
R7,28.925000,-17.550000,top,180.000000,,180.000000,,,
R8,28.925000,-16.050000,top,0.000000,,0.000000,,,
R9,28.925000,-13.050000,top,180.000000,,180.000000,,,
R10,22.200000,-11.750000,top,-90.000000,,-90.000000,,,
R11,27.250000,-33.500000,top,0.000000,,0.000000,,,
R12,24.200000,-33.500000,top,180.000000,,180.000000,,,
R13,16.350000,-53.500000,top,-90.000000,,-90.000000,,,
R14,3.000000,-57.850000,top,180.000000,,180.000000,,,
R15,16.840000,-57.150000,top,90.000000,,90.000000,,,
R16,25.150000,-46.080000,top,90.000000,,90.000000,,,
R17,26.850000,-46.100000,top,-90.000000,,-90.000000,,,
RN1,15.800000,-66.100000,top,-90.000000,-90.000000,0.000000,,,
RN2,15.800000,-107.182000,top,-90.000000,-90.000000,0.000000,,,
RN3,28.050000,-107.200000,top,-90.000000,-90.000000,0.000000,,,
RN4,28.050000,-66.100000,top,90.000000,90.000000,180.000000,,,
RN5,47.550000,-114.800000,top,90.000000,90.000000,180.000000,,,
RN6,47.550000,-64.900000,top,90.000000,90.000000,180.000000,,,
RN7,47.550000,-80.150000,top,90.000000,90.000000,180.000000,,,
RN8,47.500000,-95.150000,top,90.000000,90.000000,180.000000,,,
RV1,21.400000,-55.250000,top,0.000000,0.000000,180.000000,,,
U1,18.650000,-48.378000,top,0.000000,,0.000000,,,
U2,22.200000,-30.000000,top,-90.000000,-90.000000,0.000000,,,
U3,11.830000,-55.688000,top,-90.000000,-90.000000,0.000000,,,
U4,22.078560,-79.321440,top,-90.000000,-90.000000,0.000000,,,
U5,21.828560,-93.992440,top,-90.000000,-90.000000,0.000000,,,
U6,21.954000,-66.060000,top,90.000000,90.000000,180.000000,,,
U7,21.954000,-107.182000,top,90.000000,90.000000,180.000000,,,